month,enbridge_mainline_capacity_kbd,keystone_capacity_kbd,trans_mountain_capacity_kbd,total_capacity_kbd,total_throughput_kbd,utilization_pct,vintage
2018-01,2880.7,592.8,264.2,3737.7,3468.2,92.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-02,2767.5,597.6,308.2,3673.3,3434.3,93.5,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-03,2767.5,589.5,289.3,3646.3,3438.2,94.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-04,2761.2,604.4,295.6,3661.2,3498.4,95.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-05,2761.2,590.0,308.2,3659.4,3452.7,94.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-06,2717.2,596.4,289.3,3602.9,3456.7,95.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-07,2748.7,597.8,289.3,3635.8,3444.0,94.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-08,2719.6,564.4,301.9,3585.9,3383.2,94.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-09,2709.5,584.0,270.5,3564.0,3359.7,94.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-10,2821.5,578.9,283.0,3683.4,3366.8,91.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-11,2819.1,585.6,251.6,3656.3,3606.3,98.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2018-12,2851.9,589.5,314.5,3755.9,3551.4,94.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-01,2805.3,595.0,327.1,3727.4,3567.8,95.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-02,2849.3,587.0,333.4,3769.7,3474.9,92.2,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-03,2805.3,561.4,289.3,3656.0,3519.3,96.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-04,2799.0,565.9,308.2,3673.1,3453.1,94.0,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-05,2786.4,601.8,333.4,3721.6,3477.6,93.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-06,2880.7,590.0,295.6,3766.3,3580.0,95.1,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-07,2899.0,594.0,339.6,3832.6,3650.8,95.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-08,2809.7,591.0,289.3,3690.0,3557.5,96.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-09,2849.9,572.4,327.1,3749.4,3359.6,89.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-10,2786.4,595.0,314.5,3695.9,3326.4,90.0,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-11,2773.8,583.5,320.8,3678.1,3221.2,87.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2019-12,2855.6,573.3,308.2,3737.1,3619.0,96.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-01,2975.1,566.3,289.3,3830.7,3583.2,93.5,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-02,2905.9,585.0,308.2,3799.1,3710.3,97.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-03,2987.7,584.0,327.1,3898.8,3657.6,93.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-04,2896.3,575.0,295.6,3766.9,3195.1,84.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-05,2977.2,593.3,295.6,3866.1,3228.0,83.5,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-06,2954.9,559.0,295.6,3809.5,3245.2,85.2,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-07,2944.0,551.6,295.6,3791.2,3465.4,91.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-08,2848.6,553.4,364.8,3766.8,3441.7,91.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-09,2810.6,572.0,320.8,3703.4,3183.8,86.0,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-10,2881.0,594.8,352.2,3828.0,3433.2,89.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-11,2876.5,587.7,295.6,3759.8,3526.1,93.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2020-12,2882.9,597.7,333.4,3814.0,3614.3,94.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-01,2947.2,617.8,314.5,3879.5,3747.6,96.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-02,2890.1,600.0,314.5,3804.6,3687.9,96.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-03,2843.7,603.0,339.6,3786.3,3550.8,93.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-04,2849.7,606.3,333.4,3789.4,3384.2,89.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-05,2858.5,591.8,345.9,3796.2,3592.7,94.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-06,2891.4,580.0,320.8,3792.2,3618.9,95.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-07,2902.2,605.1,295.6,3802.9,3672.8,96.6,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-08,2750.4,598.9,333.4,3682.7,3532.2,95.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-09,2812.5,589.0,327.1,3728.6,3510.1,94.1,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-10,2997.2,588.2,295.6,3881.0,3682.4,94.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-11,3249.7,624.0,149.3,4023.0,3896.6,96.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2021-12,3270.3,627.3,209.3,4106.9,3978.4,96.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-01,3264.9,605.0,283.0,4152.9,4014.3,96.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-02,3293.3,583.3,320.8,4197.4,3868.7,92.2,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-03,3276.8,611.4,339.6,4227.8,3836.3,90.7,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-04,3216.7,610.0,295.6,4122.3,3576.8,86.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-05,3193.2,610.0,345.9,4149.1,3813.3,91.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-06,3318.2,602.0,339.6,4259.8,3743.8,87.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-07,3274.5,606.0,327.1,4207.6,3865.0,91.9,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-08,3173.2,584.9,364.8,4122.9,3836.2,93.0,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-09,3218.1,643.0,308.2,4169.3,4010.3,96.2,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-10,3222.5,634.3,333.4,4190.2,3957.3,94.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-11,3284.7,627.0,301.9,4213.6,3937.3,93.4,"CER open data (throughput + capacity), pulled 2026-09-22"
2022-12,3193.7,622.0,345.9,4161.6,3860.0,92.8,"CER open data (throughput + capacity), pulled 2026-09-22"
2023-01,3282.5,584.8,339.6,4206.9,4093.5,97.3,"CER open data (throughput + capacity), pulled 2026-09-22"
2023-02,3306.8,584.8,345.9,4237.5,4004.1,94.5,"CER open data (throughput + capacity), pulled 2026-09-22"
2023-03,3276.4,589.0,345.9,4211.3,3959.1,94.0,"CER open data (throughput + capacity), pulled 2026-09-22"
