month,cap_mainline_kbd,cap_trans_mountain_kbd,cap_keystone_kbd,cap_express_kbd,cap_milk_river_kbd,cap_rangeland_kbd,rail_kbd,marketable_supply_kbd,spare_kbd,vintage
2026-01,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4836.6,117.6,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-02,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4766.1,188.2,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-03,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4802.0,152.2,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-04,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4737.4,216.8,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-05,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4577.8,376.4,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-06,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4720.3,233.9,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-07,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,5051.5,-97.3,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-08,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4899.0,55.3,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-09,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4839.5,114.7,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-10,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,4698.8,255.4,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-11,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,5118.8,-164.6,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2026-12,2921.0,872.2,627.2,333.2,96.0,19.6,85.0,5193.5,-239.3,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2027-01,3068.0,960.4,627.2,333.2,96.0,19.6,85.0,4744.8,444.7,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2027-02,3068.0,960.4,627.2,333.2,96.0,19.6,85.0,4767.9,421.5,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2027-03,3068.0,960.4,627.2,333.2,96.0,19.6,85.0,4890.4,299.0,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
2027-04,3068.0,960.4,627.2,333.2,96.0,19.6,85.0,4602.3,587.1,AER ST3 actuals through 2026-07 (DB file 2026-09-25); CER open data pulled 2026-09-22; model build 2026-09-25
