month,offline_kbd,events,vintage
2026-08,32.8,Coker 8-2 (29.8 kb/d); Cold Lake (3.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2026-09,310.0,Horizon turnaround (230.0 kb/d); Coker 8-2 (77.0 kb/d); Cold Lake (3.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2026-10,164.4,Horizon turnaround (119.0 kb/d); Coker 8-2 (22.4 kb/d); Christina Lake F/G (assumed) (20.0 kb/d); Cold Lake (3.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2026-11,23.0,Suncor Base Plant (20.0 kb/d); Cold Lake (3.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2026-12,3.0,Cold Lake (3.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-01,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-02,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-03,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-04,26.0,Primrose/Wolf Lake (cadence-modeled) (26.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-05,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-06,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-07,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-08,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-09,12.0,MacKay River (cadence-modeled) (12.0 kb/d),forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-10,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-11,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
2027-12,0.0,,forward maintenance calendar 2026-09-22; modeled at the leaves 2026-09-23
