project,operator,latest_month,latest_kbd,trailing_12m_peak_kbd,vintage
Foster Creek,Cenovus Energy Inc.,2026-07,310.7,310.7,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Firebag,Suncor Energy Inc.,2026-07,305.7,321.9,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Christina Lake,Cenovus Energy Inc.,2026-07,258.2,303.0,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Cold Lake,Imperial Oil Resources Limited,2026-07,194.3,207.5,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Surmont,ConocoPhillips Canada Resources Corp.,2026-07,167.8,199.3,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Jackfish,Canadian Natural Resources Limited,2026-07,128.8,159.5,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Primrose and Wolf Lake,Canadian Natural Resources Limited,2026-07,113.5,113.5,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Narrows Lake,Cenovus Energy Inc.,2026-07,101.6,101.6,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Sunrise,Cenovus Energy Inc.,2026-07,86.2,86.2,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Kirby,Canadian Natural Resources Limited,2026-07,70.1,76.3,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
MacKay River,Suncor Energy Inc.,2026-07,41.7,46.3,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
Leismer,Athabasca Oil Corporation,2026-07,32.6,35.4,"AER ST3/ST53 actuals through Jul 2026, pulled 2026-09-22"
