battery,month,kbd,probable_tiein,vintage
CVE CHRISTINA LAKE LEISMER 08-17,2022-01,259.0,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-02,253.5,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-03,249.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-04,234.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-05,207.7,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-06,244.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-07,255.0,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-08,252.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-09,251.5,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-10,255.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-11,250.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2022-12,243.7,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-01,236.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-02,240.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-03,235.0,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-04,229.2,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-05,238.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-06,237.9,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-07,236.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-08,238.4,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-09,236.7,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-10,234.2,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-11,241.7,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2023-12,242.0,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-01,237.3,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-02,238.8,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-03,233.7,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-04,238.2,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-05,231.3,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
CVE CHRISTINA LAKE LEISMER 08-17,2024-06,241.8,False,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
