month,bitumen_kbd,condensate_kbd,blend_ratio,vintage
2022-01,1860.0,680.5,0.366,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-02,1869.6,699.2,0.374,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-03,1881.0,686.8,0.365,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-04,1875.3,658.6,0.351,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-05,1716.0,575.9,0.336,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-06,1654.8,574.7,0.347,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-07,1863.9,582.1,0.312,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-08,1871.1,572.7,0.306,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-09,1865.6,577.2,0.309,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-10,1923.0,624.4,0.325,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-11,1929.2,668.2,0.346,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-12,1914.5,658.6,0.344,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-01,1910.7,652.1,0.341,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-02,1915.4,675.4,0.353,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-03,1908.1,654.2,0.343,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-04,1812.4,603.2,0.333,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-05,1826.1,596.8,0.327,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-06,1885.6,584.1,0.31,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-07,1916.4,558.8,0.292,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-08,1943.7,570.6,0.294,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-09,1900.3,565.5,0.298,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-10,1927.8,593.3,0.308,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-11,1976.7,624.7,0.316,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-12,2024.5,651.6,0.322,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-01,1969.7,645.7,0.328,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-02,2003.0,655.0,0.327,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-03,2003.9,642.5,0.321,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-04,1982.6,627.8,0.317,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-05,1980.0,598.9,0.302,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-06,2024.3,610.4,0.302,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-07,1972.2,633.0,0.321,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-08,1918.1,613.0,0.32,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-09,1837.8,586.2,0.319,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-10,2060.8,671.4,0.326,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-11,2069.0,719.2,0.348,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-12,2099.6,732.6,0.349,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-01,2100.3,745.7,0.355,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-02,2072.6,719.1,0.347,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-03,2108.5,735.8,0.349,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-04,2056.7,707.1,0.344,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-05,1924.3,658.0,0.342,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-06,1964.4,639.8,0.326,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-07,2111.5,687.9,0.326,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-08,2099.6,652.8,0.311,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-09,2059.7,638.0,0.31,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-10,2115.6,683.4,0.323,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-11,2173.2,750.2,0.345,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-12,2149.7,812.8,0.378,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-01,2161.2,815.7,0.377,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-02,2173.7,789.5,0.363,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-03,2168.1,756.7,0.349,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-04,2118.5,753.9,0.356,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-05,2005.0,711.4,0.355,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-06,2131.8,696.4,0.327,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
