month,system,kbd,vintage
2022-01,Cactus Lake / Manito,33.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-02,Cactus Lake / Manito,30.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-03,Cactus Lake / Manito,37.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-04,Cactus Lake / Manito,41.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-05,Cactus Lake / Manito,37.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-06,Cactus Lake / Manito,46.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-07,Cactus Lake / Manito,44.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-08,Cactus Lake / Manito,51.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-09,Cactus Lake / Manito,47.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-10,Cactus Lake / Manito,39.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-11,Cactus Lake / Manito,41.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-12,Cactus Lake / Manito,64.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-01,Cactus Lake / Manito,48.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-02,Cactus Lake / Manito,48.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-03,Cactus Lake / Manito,33.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-04,Cactus Lake / Manito,36.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-05,Cactus Lake / Manito,25.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-06,Cactus Lake / Manito,36.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-07,Cactus Lake / Manito,34.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-08,Cactus Lake / Manito,34.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-09,Cactus Lake / Manito,35.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-10,Cactus Lake / Manito,36.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-11,Cactus Lake / Manito,37.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-12,Cactus Lake / Manito,64.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-01,Cactus Lake / Manito,36.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-02,Cactus Lake / Manito,38.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-03,Cactus Lake / Manito,32.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-04,Cactus Lake / Manito,40.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-05,Cactus Lake / Manito,26.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-06,Cactus Lake / Manito,26.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-07,Cactus Lake / Manito,25.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-08,Cactus Lake / Manito,37.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-09,Cactus Lake / Manito,32.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-10,Cactus Lake / Manito,35.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-11,Cactus Lake / Manito,33.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-12,Cactus Lake / Manito,38.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-01,Cactus Lake / Manito,36.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-02,Cactus Lake / Manito,40.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-03,Cactus Lake / Manito,48.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-04,Cactus Lake / Manito,36.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-05,Cactus Lake / Manito,34.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-06,Cactus Lake / Manito,29.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-07,Cactus Lake / Manito,27.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-08,Cactus Lake / Manito,28.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-09,Cactus Lake / Manito,35.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-10,Cactus Lake / Manito,29.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-11,Cactus Lake / Manito,22.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-12,Cactus Lake / Manito,25.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-01,Cactus Lake / Manito,22.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-02,Cactus Lake / Manito,21.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-03,Cactus Lake / Manito,23.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-04,Cactus Lake / Manito,24.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-05,Cactus Lake / Manito,23.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-06,Cactus Lake / Manito,20.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-07,Cactus Lake / Manito,22.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-08,Cactus Lake / Manito,20.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-01,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-02,Court / Winter,5.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-03,Court / Winter,5.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-04,Court / Winter,6.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-05,Court / Winter,5.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-06,Court / Winter,4.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-07,Court / Winter,5.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-08,Court / Winter,5.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-09,Court / Winter,5.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-10,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-11,Court / Winter,5.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-12,Court / Winter,4.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-01,Court / Winter,5.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-02,Court / Winter,6.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-03,Court / Winter,6.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-04,Court / Winter,6.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-05,Court / Winter,4.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-06,Court / Winter,4.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-07,Court / Winter,5.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-08,Court / Winter,6.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-09,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-10,Court / Winter,3.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-11,Court / Winter,4.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-12,Court / Winter,5.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-01,Court / Winter,5.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-02,Court / Winter,4.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-03,Court / Winter,5.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-04,Court / Winter,5.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-05,Court / Winter,3.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-06,Court / Winter,5.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-07,Court / Winter,4.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-08,Court / Winter,4.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-09,Court / Winter,3.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-10,Court / Winter,2.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-11,Court / Winter,4.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-12,Court / Winter,4.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-01,Court / Winter,5.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-02,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-03,Court / Winter,6.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-04,Court / Winter,6.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-05,Court / Winter,5.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-06,Court / Winter,5.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-07,Court / Winter,5.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-08,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-09,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-10,Court / Winter,4.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-11,Court / Winter,4.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2025-12,Court / Winter,4.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-01,Court / Winter,4.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-02,Court / Winter,4.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-03,Court / Winter,4.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-04,Court / Winter,3.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-05,Court / Winter,2.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-06,Court / Winter,4.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-07,Court / Winter,3.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2026-08,Court / Winter,4.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-01,Husky,184.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-02,Husky,185.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-03,Husky,151.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-04,Husky,159.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-05,Husky,162.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-06,Husky,172.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-07,Husky,173.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-08,Husky,167.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-09,Husky,167.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-10,Husky,171.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-11,Husky,178.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2022-12,Husky,152.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-01,Husky,170.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-02,Husky,168.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-03,Husky,176.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-04,Husky,164.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-05,Husky,177.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-06,Husky,187.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-07,Husky,192.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-08,Husky,183.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-09,Husky,187.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-10,Husky,172.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-11,Husky,186.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2023-12,Husky,199.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
2024-01,Husky,191.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
