operator,latest_kbd,change_kbd,change_pct,insitu_share_pct,vintage
CENOVUS ENERGY INC.,820.7,192.8,30.7,96.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
CANADIAN NATURAL RESOURCES LIMITED,511.9,47.7,10.3,82.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
STRATHCONA RESOURCES LTD.,122.5,14.7,13.7,84.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
SPUR PETROLEUM LTD.,65.3,12.3,23.3,39.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
SUNCOR ENERGY INC.,278.8,5.8,2.1,100.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
CARDINAL ENERGY LTD.,23.5,4.5,24.0,27.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
SPARTAN DELTA CORP.,9.0,3.8,72.3,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
HEADWATER EXPLORATION INC.,24.1,3.2,15.2,99.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
TOURMALINE OIL CORP.,1.5,-10.7,-87.7,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
CONOCOPHILLIPS CANADA RESOURCES CORP.,136.9,-7.9,-5.4,100.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
WHITECAP RESOURCES INC.,73.2,-5.0,-6.4,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
VERMILION ENERGY INC.,2.6,-4.1,-61.1,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
TEINE ENERGY LTD.,33.5,-3.7,-9.9,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
HWN ENERGY LTD.,5.8,-3.1,-35.0,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
WHITECAP PARTNERSHIP,66.9,-2.9,-4.1,0.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
ATHABASCA OIL CORPORATION,33.9,-2.6,-7.0,100.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-25
