month,kbd,vintage
2022-01,32.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-02,30.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-03,40.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-04,44.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-05,43.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-06,48.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-07,49.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-08,45.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-09,43.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-10,37.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-11,42.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2022-12,40.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-01,39.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-02,36.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-03,33.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-04,35.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-05,32.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-06,31.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-07,31.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-08,30.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-09,28.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-10,34.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-11,35.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2023-12,29.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-01,34.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-02,32.6,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-03,31.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-04,36.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-05,36.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-06,30.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-07,34.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-08,25.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-09,40.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-10,34.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-11,37.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2024-12,31.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-01,31.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-02,32.2,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-03,30.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-04,31.7,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-05,33.1,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-06,32.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-07,33.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-08,38.0,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-09,35.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-10,36.8,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-11,36.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2025-12,37.5,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-01,33.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-02,32.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-03,31.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-04,32.9,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-05,33.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-06,33.3,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-07,36.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
2026-08,30.4,Petrinex public volumetrics 2022-01 to 2026-08; page built 2026-09-26
