month,band,heavy_kbd,light_kbd,medium_kbd,synthetic_sco_kbd,vintage
2025-08,act,2390.2,407.0,73.6,1359.0,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-09,act,2428.7,401.5,74.2,1308.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-10,act,2290.7,412.9,73.5,1358.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-11,act,2406.0,438.3,72.2,1482.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-12,act,2515.2,428.3,67.4,1393.3,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-01,act,2400.4,412.6,71.9,1327.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-02,act,2364.7,414.9,73.2,1297.3,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-03,act,2397.1,417.2,73.1,1280.5,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-04,act,2287.7,432.0,70.2,1359.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-05,act,2265.9,420.9,69.6,1236.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-06,act,2317.3,423.4,68.6,1315.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-07,act,2470.1,419.6,68.5,1440.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-08,nc,2346.5,424.5,71.4,1411.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-09,nc,2148.1,417.8,70.2,1244.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-10,fc,2303.3,436.3,69.3,1291.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-11,fc,2454.1,452.1,67.7,1487.0,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-12,fc,2506.9,451.5,65.2,1493.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-01,fc,2334.1,396.6,72.4,1366.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-02,fc,2330.0,404.7,73.5,1391.9,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-03,fc,2403.6,414.2,76.0,1399.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-04,fc,2292.0,420.0,76.0,1251.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-05,fc,2314.6,399.3,73.2,1073.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-06,fc,2412.4,399.7,70.1,1249.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-07,fc,2437.8,412.2,71.0,1441.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-08,fc,2399.6,424.5,71.4,1440.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-09,fc,2455.4,417.8,70.2,1278.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-10,fc,2499.4,436.3,69.3,1305.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-11,fc,2516.1,452.1,67.7,1498.3,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-12,fc,2552.1,451.5,65.2,1499.9,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
