month,band,supply_total,in_situ,mined_grp,conv,diluent,ab_use,removals_from_alberta,maint,stor_chg
2025-08,act,4229.8,1961.6,1622.2,646.0,308.2,599.9,4447.5,,
2025-09,act,4212.8,1927.9,1642.7,642.2,265.2,545.7,4279.5,,
2025-10,act,4135.8,1972.4,1511.9,651.5,269.3,568.2,4364.0,,
2025-11,act,4399.1,2015.1,1705.4,678.6,265.8,618.0,4545.7,,
2025-12,act,4404.2,1993.3,1752.3,658.6,287.1,613.7,4553.6,,
2026-01,act,4212.1,2010.4,1544.0,657.7,384.0,597.2,4393.1,,
2026-02,act,4150.1,2023.5,1464.0,662.6,395.8,609.8,4346.3,,
2026-03,act,4167.9,2019.7,1481.4,666.8,390.1,617.2,4400.2,,
2026-04,act,4149.7,1968.8,1504.0,676.9,363.8,523.4,4462.5,,
2026-05,act,3992.8,1856.3,1475.3,661.2,339.4,541.5,4348.0,,
2026-06,act,4125.0,1980.1,1482.0,662.9,307.0,622.4,4219.2,,
2026-07,act,4398.3,2085.6,1652.5,660.2,283.4,610.8,4541.6,,
2026-08,nc,4260.3,1978.2,1616.4,665.7,287.1,610.3,4467.2,32.8,-530.1
2026-09,nc,3865.9,1900.3,1307.8,657.8,285.5,558.2,4384.0,310.0,-790.8
2026-10,fc,4095.9,1996.7,1423.3,675.9,309.4,581.1,4439.1,164.4,-614.9
2026-11,fc,4460.9,2044.6,1725.9,690.4,310.4,620.8,4624.6,23.0,-474.1
2026-12,fc,4517.2,2064.2,1768.0,685.0,327.1,625.3,4700.3,3.0,-481.3
2027-01,fc,4169.3,2011.1,1521.4,636.8,342.5,590.9,4357.2,0.0,-436.3
2027-02,fc,4200.1,2017.6,1532.4,650.1,333.9,612.1,4434.1,0.0,-512.2
2027-03,fc,4293.2,2027.5,1602.9,662.8,326.4,605.6,4391.3,0.0,-377.3
2027-04,fc,4039.7,1934.2,1439.3,666.2,350.9,539.3,4182.9,26.0,-331.6
2027-05,fc,3860.9,1973.6,1245.2,642.1,338.5,526.4,4116.5,0.0,-443.5
2027-06,fc,4131.8,2000.4,1491.6,639.8,329.4,578.5,4372.4,0.0,-489.7
2027-07,fc,4362.6,2038.0,1671.9,652.7,317.9,619.2,4431.6,0.0,-370.3
2027-08,fc,4336.1,2017.9,1652.5,665.7,287.1,610.3,4467.2,0.0,-454.3
2027-09,fc,4221.8,1942.9,1621.1,657.8,285.5,558.2,4384.0,12.0,-434.9
2027-10,fc,4310.6,2063.7,1571.0,675.9,309.4,581.1,4439.1,0.0,-400.2
2027-11,fc,4534.2,2091.6,1752.2,690.4,310.4,620.8,4624.6,0.0,-400.8
2027-12,fc,4568.7,2109.4,1774.3,685.0,327.1,625.3,4700.3,0.0,-429.8
