month,band,gross_diluent_requirement_kbd,local_c5_supply_kbd,recovered_diluent_kbd,implied_import_requirement_kbd,actual_imports_kbd,bitumen_blend_share,conv_heavy_blend_share,vintage
2025-08,act,703.1,88.5,362.8,251.8,308.2,0.232,0.158,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-09,act,721.8,89.4,362.8,269.6,265.2,0.234,0.156,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-10,act,717.7,90.0,362.8,264.9,269.3,0.244,0.161,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-11,act,803.5,100.6,362.8,340.1,265.8,0.256,0.166,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-12,act,877.1,98.9,362.8,415.4,287.1,0.264,0.170,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-01,act,854.0,95.9,362.8,395.2,384.0,0.268,0.182,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-02,act,837.1,91.7,362.8,382.6,395.8,0.267,0.184,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-03,act,849.2,84.0,362.8,402.4,390.1,0.267,0.186,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-04,act,809.6,93.2,362.8,353.6,363.8,0.267,0.186,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-05,act,770.1,90.0,362.8,317.2,339.4,0.259,0.181,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-06,act,739.6,97.3,362.8,279.4,307.0,0.247,0.172,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-07,act,751.5,91.7,362.8,297.0,283.4,0.238,0.164,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-08,nc,693.5,97.9,362.8,232.7,,0.232,0.158,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-09,nc,646.3,95.4,362.8,188.1,,0.234,0.156,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-10,fc,724.4,101.5,362.8,260.0,,0.244,0.161,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-11,fc,819.7,102.6,362.8,354.2,,0.256,0.166,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-12,fc,873.3,100.7,362.8,409.8,,0.264,0.170,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-01,fc,830.5,84.6,362.8,383.0,,0.268,0.182,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-02,fc,824.9,85.9,362.8,376.1,,0.267,0.184,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-03,fc,852.1,85.3,362.8,404.0,,0.267,0.186,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-04,fc,811.8,87.6,362.8,361.3,,0.267,0.186,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-05,fc,787.2,89.3,362.8,335.1,,0.259,0.181,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-06,fc,770.9,88.6,362.8,319.4,,0.247,0.172,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-07,fc,741.7,91.9,362.8,287.0,,0.238,0.164,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-08,fc,705.4,97.9,362.8,244.7,,0.232,0.158,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-09,fc,729.6,95.4,362.8,271.4,,0.234,0.156,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-10,fc,784.4,101.5,362.8,320.1,,0.244,0.161,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-11,fc,841.0,102.6,362.8,375.6,,0.256,0.166,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-12,fc,889.5,100.7,362.8,426.0,,0.264,0.170,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
