month,band,supply_total,in_situ,mined_grp,conv,diluent,ab_use,removals_from_alberta,maint,total_receipts,losses_ffl,adjustments,aer_plug,stor_chg
2025-08,act,4229.8,1961.6,1622.2,646.0,308.2,599.9,4447.5,,995.7,146.3,-63.8,9.5,
2025-09,act,4212.8,1927.9,1642.7,642.2,265.2,545.7,4279.5,,953.5,147.3,-74.0,48.6,
2025-10,act,4135.8,1972.4,1511.9,651.5,269.3,568.2,4364.0,,985.6,143.0,-70.4,34.7,
2025-11,act,4399.1,2015.1,1705.4,678.6,265.8,618.0,4545.7,,1042.3,153.4,-78.5,23.1,
2025-12,act,4404.2,1993.3,1752.3,658.6,287.1,613.7,4553.6,,1055.5,154.2,-81.2,20.4,
2026-01,act,4212.1,2010.4,1544.0,657.7,384.0,597.2,4393.1,,1137.2,146.6,12.8,101.3,
2026-02,act,4150.1,2023.5,1464.0,662.6,395.8,609.8,4346.3,,1131.4,146.2,-2.7,204.1,
2026-03,act,4167.9,2019.7,1481.4,666.8,390.1,617.2,4400.2,,1135.7,143.5,-3.8,193.7,
2026-04,act,4149.7,1968.8,1504.0,676.9,363.8,523.4,4462.5,,1076.4,144.2,7.0,109.0,
2026-05,act,3992.8,1856.3,1475.3,661.2,339.4,541.5,4348.0,,1038.7,140.8,-8.0,150.1,
2026-06,act,4125.0,1980.1,1482.0,662.9,307.0,622.4,4219.2,,1033.3,151.2,-0.7,120.6,
2026-07,act,4398.3,2085.6,1652.5,660.2,283.4,610.8,4541.6,,1025.1,161.2,3.6,131.4,
2026-08,nc,4260.3,1978.2,1616.4,665.7,287.1,610.3,4467.2,32.8,1006.0,150.0,-23.9,95.5,-80.6
2026-09,nc,3865.9,1900.3,1307.8,657.8,285.5,558.2,4384.0,310.0,981.2,148.2,-31.5,95.5,-370.3
2026-10,fc,4095.9,1996.7,1423.3,675.9,309.4,581.1,4439.1,164.4,1055.5,152.5,-31.3,95.5,-148.1
2026-11,fc,4460.9,2044.6,1725.9,690.4,310.4,620.8,4624.6,23.0,1099.4,159.6,-30.4,95.5,29.4
2026-12,fc,4517.2,2064.2,1768.0,685.0,327.1,625.3,4700.3,3.0,1120.4,161.3,-35.0,95.5,20.2
2027-01,fc,4169.3,2011.1,1521.4,636.8,342.5,590.9,4357.2,0.0,1095.0,144.3,-90.1,95.5,-13.7
2027-02,fc,4200.1,2017.6,1532.4,650.1,333.9,612.1,4434.1,0.0,1075.9,144.8,-13.1,95.5,-23.6
2027-03,fc,4293.2,2027.5,1602.9,662.8,326.4,605.6,4391.3,0.0,1084.4,147.8,-15.0,95.5,122.4
2027-04,fc,4039.7,1934.2,1439.3,666.2,350.9,539.3,4182.9,26.0,1071.5,142.9,-13.0,95.5,137.6
2027-05,fc,3860.9,1973.6,1245.2,642.1,338.5,526.4,4116.5,0.0,997.2,135.0,-21.4,95.5,-36.7
2027-06,fc,4131.8,2000.4,1491.6,639.8,329.4,578.5,4372.4,0.0,1000.2,143.7,-33.8,95.5,-91.9
2027-07,fc,4362.6,2038.0,1671.9,652.7,317.9,619.2,4431.6,0.0,1023.6,148.0,-21.4,95.5,70.5
2027-08,fc,4336.1,2017.9,1652.5,665.7,287.1,610.3,4467.2,0.0,1006.0,150.0,-23.9,95.5,-4.8
2027-09,fc,4221.8,1942.9,1621.1,657.8,285.5,558.2,4384.0,12.0,981.2,148.2,-31.5,95.5,-14.4
2027-10,fc,4310.6,2063.7,1571.0,675.9,309.4,581.1,4439.1,0.0,1055.5,152.5,-31.3,95.5,66.6
2027-11,fc,4534.2,2091.6,1752.2,690.4,310.4,620.8,4624.6,0.0,1099.4,159.6,-30.4,95.5,102.7
2027-12,fc,4568.7,2109.4,1774.3,685.0,327.1,625.3,4700.3,0.0,1120.4,161.3,-35.0,95.5,71.7
