month,band,grade_conv_light,grade_conv_sour,grade_conv_heavy,grade_sco,grade_dilbit,grade_total
2025-08,act,407.0,73.6,165.4,1359.0,2224.8,4229.8
2025-09,act,401.5,74.2,166.5,1308.4,2262.2,4212.8
2025-10,act,412.9,73.5,165.1,1358.7,2125.6,4135.8
2025-11,act,438.3,72.2,168.1,1482.6,2237.9,4399.1
2025-12,act,428.3,67.4,162.9,1393.3,2352.3,4404.2
2026-01,act,412.6,71.9,173.2,1327.2,2227.2,4212.1
2026-02,act,414.9,73.2,174.5,1297.3,2190.2,4150.1
2026-03,act,417.2,73.1,176.5,1280.5,2220.6,4167.9
2026-04,act,432.0,70.2,174.7,1359.8,2113.0,4149.7
2026-05,act,420.9,69.6,170.7,1236.4,2095.2,3992.8
2026-06,act,423.4,68.6,170.9,1315.7,2146.4,4125.0
2026-07,act,419.6,68.5,172.1,1440.1,2298.0,4398.3
2026-08,nc,424.5,71.4,169.8,1404.5,2190.1,4260.3
2026-09,nc,417.8,70.2,169.8,965.1,2243.0,3865.9
2026-10,fc,436.3,69.3,170.3,1157.9,2262.1,4095.9
2026-11,fc,452.1,67.7,170.6,1487.0,2283.5,4460.9
2026-12,fc,451.5,65.2,168.3,1493.6,2338.6,4517.2
2027-01,fc,396.6,72.4,167.8,1366.2,2166.3,4169.3
2027-02,fc,404.7,73.5,171.9,1391.9,2158.1,4200.1
2027-03,fc,414.2,76.0,172.6,1399.4,2231.0,4293.2
2027-04,fc,420.0,76.0,170.2,1251.7,2121.8,4039.7
2027-05,fc,399.3,73.2,169.6,1073.8,2145.0,3860.9
2027-06,fc,399.7,70.1,170.0,1249.6,2242.4,4131.8
2027-07,fc,412.2,71.0,169.5,1441.6,2268.3,4362.6
2027-08,fc,424.5,71.4,169.8,1440.6,2229.8,4336.1
2027-09,fc,417.8,70.2,169.8,1278.4,2285.6,4221.8
2027-10,fc,436.3,69.3,170.3,1305.6,2329.1,4310.6
2027-11,fc,452.1,67.7,170.6,1498.3,2345.5,4534.2
2027-12,fc,451.5,65.2,168.3,1499.9,2383.8,4568.7
